0.00,5.00,6.00,7.00,7.00,-0.05,-0.85,0.56,melihat
0.00,9.00,7.00,6.00,5.00,-0.07,-0.63,0.78,cinta
0.00,9.00,6.00,6.00,5.00,-0.14,-0.58,0.78,cinta
0.00,9.00,6.00,6.00,5.00,-0.11,-0.62,0.76,cinta
0.00,9.00,7.00,6.00,5.00,-0.09,-0.65,0.76,cinta
0.00,9.00,6.00,6.00,5.00,-0.07,-0.63,0.76,cinta
0.00,9.00,6.00,6.00,5.00,-0.04,-0.58,0.79,cinta
0.00,10.00,6.00,6.00,5.00,-0.01,-0.60,0.80,cinta
0.00,8.00,6.00,6.00,5.00,-0.02,-0.59,0.81,cinta
0.00,8.00,6.00,6.00,5.00,-0.03,-0.59,0.78,cinta
0.00,9.00,6.00,6.00,3.00,0.84,-0.59,0.19,telepon
0.00,9.00,6.00,6.00,3.00,0.88,-0.63,0.08,telepon
0.00,9.00,6.00,6.00,3.00,0.78,-0.63,0.32,telepon
0.00,9.00,6.00,6.00,3.00,0.75,-0.65,0.36,telepon
0.00,9.00,6.00,6.00,3.00,0.91,-0.64,0.27,telepon
0.00,9.00,6.00,6.00,3.00,0.76,-0.66,0.31,telepon
0.00,9.00,6.00,6.00,3.00,0.83,-0.58,0.29,telepon
0.00,5.00,6.00,7.00,2.00,-0.04,-0.20,0.95,pesawat
0.00,5.00,6.00,7.00,2.00,-0.02,-0.21,0.95,pesawat
0.00,5.00,6.00,7.00,2.00,-0.08,-0.20,0.94,pesawat
0.00,5.00,6.00,7.00,2.00,-0.01,-0.24,0.94,pesawat
0.00,5.00,6.00,7.00,2.00,-0.08,-0.21,0.94,pesawat
0.00,5.00,6.00,6.00,2.00,0.01,-0.23,0.96,pesawat
0.00,5.00,6.00,6.00,2.00,-0.07,-0.21,0.93,pesawat
0.00,5.00,6.00,6.00,2.00,0.01,-0.23,0.95,pesawat
0.00,5.00,6.00,6.00,2.00,-0.03,-0.21,0.94,pesawat
0.00,9.00,7.00,7.00,8.00,-0.86,-0.07,0.36,buruk
0.00,9.00,7.00,7.00,8.00,-0.86,-0.06,0.36,buruk
0.00,9.00,7.00,7.00,8.00,-0.86,-0.05,0.35,buruk
0.00,9.00,7.00,7.00,8.00,-0.87,-0.01,0.34,buruk
0.00,9.00,7.00,7.00,8.00,-0.86,-0.01,0.36,buruk
0.00,9.00,7.00,7.00,8.00,-0.87,-0.00,0.37,buruk
0.00,9.00,7.00,7.00,8.00,-0.85,0.01,0.36,buruk
0.00,9.00,7.00,7.00,8.00,-0.85,0.02,0.38,buruk
2.00,6.00,6.00,7.00,7.00,0.35,0.41,0.79,disini
2.00,6.00,6.00,7.00,7.00,0.34,0.44,0.78,disini
2.00,6.00,6.00,7.00,7.00,0.34,0.40,0.78,disini
2.00,6.00,6.00,7.00,7.00,0.34,0.40,0.79,disini
2.00,6.00,6.00,7.00,7.00,0.35,0.41,0.79,disini
2.00,6.00,6.00,7.00,7.00,0.35,0.28,0.76,disini
2.00,6.00,6.00,7.00,7.00,0.34,0.39,0.81,disini
2.00,6.00,6.00,7.00,7.00,0.34,0.38,0.81,disini
2.00,6.00,6.00,7.00,7.00,0.34,0.38,0.81,disini
2.00,4.00,0.00,7.00,7.00,-0.18,-0.99,0.21,3
2.00,4.00,0.00,7.00,7.00,-0.20,-0.99,0.14,3
2.00,4.00,0.00,7.00,7.00,-0.21,-0.00,0.03,3
2.00,4.00,0.00,7.00,7.00,-0.24,-1.00,0.05,3
2.00,4.00,0.00,7.00,7.00,-0.22,-1.00,0.08,3
2.00,4.00,0.00,7.00,7.00,-0.23,-1.00,0.05,3
2.00,4.00,0.00,7.00,7.00,-0.22,-1.00,0.05,3
2.00,4.00,0.00,7.00,7.00,-0.22,-1.01,0.07,3
2.00,4.00,0.00,7.00,7.00,-0.21,-1.00,0.07,3
2.00,4.00,0.00,7.00,7.00,-0.23,-1.00,0.06,3
4.00,5.00,0.00,7.00,10.00,-0.04,-0.95,0.37,7
4.00,5.00,0.00,7.00,2.00,-0.06,-0.96,0.35,7
4.00,5.00,0.00,7.00,2.00,-0.06,-0.96,0.34,7
4.00,5.00,0.00,7.00,2.00,-0.06,-0.97,0.32,7
4.00,5.00,0.00,7.00,2.00,-0.06,-0.97,0.32,7
4.00,5.00,0.00,7.00,2.00,-0.06,-0.97,0.33,7
4.00,5.00,0.00,7.00,2.00,-0.06,-0.97,0.34,7
4.00,5.00,0.00,7.00,2.00,-0.06,-0.97,0.32,7
1.00,7.00,6.00,7.00,7.00,0.16,-0.74,0.68,makan
1.00,7.00,6.00,7.00,7.00,0.12,-0.73,0.68,makan
1.00,7.00,6.00,7.00,7.00,0.11,-0.72,0.69,makan
1.00,7.00,6.00,7.00,7.00,0.09,-0.73,0.69,makan
